,timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
0,2024-04-16 09:30:00,Основы программирования,Преподаватель не смог заинтересовать,Все было неинтересно,"Не стоит даже пытаться улучшать, просто отменить",Жуть,0,0,0.0
1,2024-04-17 14:45:00,Основы программирования,Потерял 2 часа на этом вебинаре,"Не понял, о чем шла речь",Лучше бы они ничего не проводили,Безнадежность,0,0,0.0
2,2024-04-18 11:20:00,Основы программирования,Потеря времени,Пропустил половину из-за абсолютной нудятины,Таких вебинаров следует избегать,Полное разочарование,0,0,0.0
3,2024-04-19 16:55:00,Основы программирования,Просто ужас,Ничего не запомнил,Полное отсутствие смысла,Просто кошмар,0,0,0.0
4,2024-04-20 13:10:00,Основы программирования,Никакой пользы не извлек,Потерял всякий интерес,Лучше бы я поспал в это время,Ужасное впечатление,0,0,0.0
0,2024-04-21 08:00:00,Основы программирования,"Преподаватель произвел плохое впечатление, был неорганизованным и сбивчивым.","К сожалению, преподаватель не смог эффективно реагировать на вопросы студентов и не создал поддерживающую атмосферу в аудитории.","Предложение о курсах стрижки для преподавателей кажется более уместным, чем этот курс.","На занятиях было скучно и нудно, коты казались единственным интересным аспектом.",0,2,0.0
1,2024-04-22 12:30:00,Основы программирования,Лектор казался неподготовленным и не мог удержать внимание студентов.,Лектор был не способен эффективно объяснить сложные концепции и не смог поддерживать интерес студентов на протяжении всего занятия.,"Могли бы предложить курсы повышения квалификации для преподавателей, чтобы они лучше подготовились к преподаванию.","Занятия были полным провалом, лектор не смог заинтересовать студентов.",0,2,0.0
2,2024-04-23 09:15:00,Основы программирования,Преподаватель не смог эффективно реагировать на вопросы студентов и не обеспечил достаточно материала для изучения.,"Преподаватель не обладал достаточными знаниями и опытом для преподавания предмета, что сказалось на качестве обучения.","Считаю, что курс должен быть пересмотрен и улучшен, чтобы обеспечить более эффективное обучение.","Время на занятиях было потеряно, лектор не смог заинтересовать аудиторию.",0,2,0.0
3,2024-04-24 14:45:00,Основы программирования,Лектор часто терял нить рассказа и предложил сомнительные методы обучения.,"Предложение о курсах стрижки для преподавателей было бы более ценным, чем этот курс.",Курсы обучения для преподавателей могли бы помочь улучшить качество преподавания на этом курсе.,"Занятия были полным провалом, лектор был неорганизованным и невнятным.",0,2,0.0
4,2024-04-25 11:00:00,Основы программирования,Преподаватель не был заинтересован в предмете и не смог заинтересовать студентов.,"Лектор не смог заинтересовать студентов и кажется, что коты в классе были единственным развлечением на занятиях.","Предложение о курсах стрижки для лекторов кажется более уместным, чем этот курс.","Этот курс был полным провалом, преподаватель не смог привнести интереса и мотивации у студентов.",0,2,0.0
0,2024-04-26 08:00:00,ChatGPT для обучения,"Вебинар Отсутствие полезной информации о том, как использовать ChatGPT для обучения.",Разбор различий в использовании GPT чата был не информативным и не помог понять его применение.,Отсутствие предложений в вебинаре по использованию GPT чата для обучения сделало занятие бесполезным.,Вопросы о затруднениях ответа и отсутствие рекомендаций сделали занятие бесполезным.,0,0,0.0
